,metric,score,passed
0,fast_snr,14.884440679222548,True
1,short_snr,18.041346641118608,True
2,long_snr,12.647541546527698,True
3,folded_cadences_snr,0.14565514082479583,True
4,snr_p_t0,17.488230176639753,True
5,snr_p_2t0,5.238876418054187,False
6,snr_2p_t0,12.625078909036683,True
7,snr_2p_2t0,12.10607514972285,True
8,snr_p2_t0,5.238876418054187,False
9,snr_p2_t02,0.001,True
10,snr_p_score,0.2995658431493039,False
11,snr_2p_score,0.5190037593138328,True
12,snr_p2_score,0.29950866183421937,False
13,transit_offset_ra,124.54671155883942,False
14,transit_offset_dec,-68.32668414478935,False
15,transit_offset_err,0.013128424899092933,True
16,transit_offset_pos,0.020271146280994114,False
17,core_flux_snr,12.601157796971984,True
18,halo_flux_snr,31.048756577764948,True
19,og_score,2.463960619969846,False
20,centroids_ra_snr,-9.15374801774714,False
21,centroids_dec_snr,31.2982686095148,False
